atomCount,hydrogenCount,rotatablebondCount,NHA,molecularpolarizability,donorCount,label
47,16,8,31,39.73,7,0
76,35,14,41,56.77,6,0
60,28,9,32,45.31,4,0
83,42,17,41,58.55,10,0
81,43,14,38,54.73,6,0
62,29,14,33,48.33,4,0
30,14,3,16,20.99,6,0
185,83,41,102,140.12,20,0
56,20,7,36,53.81,2,0
78,37,9,41,62.73,4,0
91,48,11,43,65.28,5,0
65,34,7,31,54.43,2,0
39,25,11,14,26.07,1,0
26,10,4,16,20.8,3,0
96,43,22,53,74.11,8,0
34,14,4,20,25.9,4,0
69,33,2,36,55.12,4,0
57,32,6,25,41.67,1,0
33,14,2,19,25.12,6,0
50,23,7,27,38.87,5,0
58,27,11,31,46.61,4,0
60,24,9,36,45.03,9,0
39,14,6,25,31.23,6,0
124,58,30,66,90.82,15,0
30,8,1,22,29.9,3,0
33,13,2,20,24.75,5,0
116,58,20,58,89.49,7,0
74,44,5,30,47.76,3,0
34,13,3,21,33.66,2,0
36,13,4,23,28.63,5,0
73,43,20,30,47.46,1,0
65,37,18,28,48.03,1,0
43,16,4,27,43.66,1,0
80,37,10,43,63.84,3,0
28,12,1,16,19.53,5,0
36,14,5,22,27.2,5,0
33,18,3,15,22.95,4,0
108,58,12,50,80.76,3,0
46,20,7,26,36.82,5,0
92,38,10,54,81.68,4,0
79,36,9,43,65.3,3,0
53,24,7,29,44.04,3,0
45,22,4,23,28.97,8,0
52,21,12,31,46.99,6,0
38,14,4,24,29.77,6,0
61,35,14,26,40.16,6,0
109,53,22,56,77.38,10,0
37,17,9,20,28.29,6,0
30,15,2,15,19.52,5,0
61,26,7,35,50.81,4,0
48,16,8,32,42.63,8,0
72,30,11,42,51.84,10,0
49,17,8,32,40.6,9,0
49,20,6,29,43.43,0,0
54,17,9,37,48.84,3,0
52,21,6,31,46.96,5,0
96,45,20,51,70.44,11,0
32,16,5,16,24.13,3,0
30,13,3,17,22.61,3,0
59,23,9,36,45.98,8,0
68,35,9,33,50.29,3,0
46,20,8,26,38.8,4,0
100,47,10,53,75.07,9,0
33,13,4,20,25.45,4,0
36,15,4,21,27.24,4,0
80,29,14,51,65.62,9,0
37,14,4,23,29.66,5,0
31,12,2,19,23.59,4,0
45,22,4,23,28.97,8,0
61,29,8,32,40.47,10,0
45,19,8,26,38.06,4,0
36,14,6,22,27.2,4,0
142,74,33,68,98.33,13,0
114,54,20,60,85.6,10,0
44,16,8,28,35.41,10,0
55,22,12,33,42.25,11,0
34,13,4,21,26.17,5,0
33,13,4,20,25.45,4,0
33,12,4,21,25.36,4,0
38,18,0,20,31.83,1,0
47,16,8,31,41.34,7,0
